date,time,distance,pace,gap,hr,elevation,
5/3/19,0:11:12,1.30,8:38,04:02.7,158,0,
5/6/19,08:54.2,1.16,7:42,01:37.7,139,0,
5/15/19,08:49.4,1.01,8:46,00:03.6,152,10,
5/15/19,0:16:40,2.00,8:19,00:01.1,142,0,
5/16/19,07:58.7,1.01,7:53,00:04.9,155,0,
5/23/19,0:28:48,3.41,8:26,03:13.5,185,33,
6/7/19,0:19:20,2.01,9:37,00:28.3,145,0,
6/9/19,0:12:00,1.26,9:30,04:07.8,169,0,
6/11/19,0:24:59,3.01,8:17,00:06.9,177,16,
6/12/19,0:44:09,5.00,8:49,00:01.9,164,33,
6/13/19,08:13.2,0.55,14:49,04:04.7,137,0,
6/13/19,0:17:02,2.01,8:28,00:06.7,156,0,
6/15/19,0:18:12,2.09,8:43,00:48.8,187,10,
6/15/19,0:16:48,2.01,8:22,00:03.8,181,3,
6/17/19,0:24:24,3.03,8:04,00:11.8,179,0,
6/18/19,0:17:26,1.81,9:37,07:49.6,172,0,
6/19/19,0:43:54,5.07,8:40,00:29.7,179,43,
6/20/19,08:44.0,1.09,8:03,00:37.9,157,0,
6/21/19,02:43.9,0.31,8:47,00:00.0,136,3,
6/21/19,0:25:17,3.04,8:19,00:13.7,155,13,
6/23/19,1:07:11,8.01,8:23,00:05.7,182,59,
6/25/19,0:22:40,3.03,7:28,00:16.4,173,0,
6/26/19,0:36:05,4.04,8:56,00:23.9,175,30,
6/27/19,0:24:17,3.10,7:50,01:04.4,160,0,
6/29/19,0:13:44,1.48,9:16,04:38.2,157,23,
6/30/19,06:27.4,0.73,8:54,00:00.0,134,0,
7/1/19,0:25:15,3.03,8:20,00:12.5,156,10,
7/2/19,0:24:13,3.28,7:23,02:03.1,162,0,
7/4/19,09:12.1,1.01,9:09,00:03.6,161,10,
7/4/19,0:33:48,4.01,8:25,00:09.5,181,36,
7/5/19,0:16:39,2.01,8:16,00:07.3,159,3,
7/6/19,0:51:25,6.03,8:32,00:14.3,166,26,
7/8/19,0:59:52,7.01,8:33,00:04.8,167,33,
7/9/19,0:25:16,3.01,8:24,00:06.2,159,20,
7/11/19,0:24:42,3.39,7:17,03:07.7,170,0,
7/12/19,0:35:43,4.01,8:55,00:02.8,164,52,
7/13/19,09:16.1,1.00,9:13,00:04.0,149,20,
7/13/19,0:38:31,4.27,9:02,02:29.4,174,30,
7/14/19,08:15.1,1.01,8:08,00:06.9,164,13,
7/14/19,0:19:45,2.24,8:48,02:01.9,158,10,
7/15/19,08:34.5,1.01,8:29,00:04.2,180,13,
7/15/19,02:31.5,0.31,8:03,00:00.0,167,0,
7/15/19,0:16:45,2.01,8:20,00:04.5,163,13,
7/16/19,0:25:22,3.00,8:27,00:03.1,152,0,
7/17/19,08:17.5,1.01,8:14,00:04.1,177,7,
7/17/19,07:52.7,1.00,7:52,00:00.0,176,3,
7/17/19,0:17:40,2.00,8:49,00:02.3,158,0,
7/18/19,0:49:30,6.70,7:23,05:17.6,171,0,
7/20/19,0:16:39,2.19,7:37,01:24.5,153,0,
7/21/19,1:55:05,13.72,8:23,06:20.5,185,157,
7/23/19,0:33:05,4.01,8:15,00:05.9,175,16,
7/24/19,02:27.3,0.31,7:58,00:00.0,165,0,
7/24/19,0:24:02,3.01,7:59,00:05.8,168,16,
7/25/19,0:59:02,7.01,8:25,00:04.8,179,43,
7/28/19,1:26:27,10.01,8:38,00:05.4,167,49,
7/30/19,0:33:37,4.01,8:23,00:04.8,169,20,
7/31/19,0:58:31,7.01,8:21,00:02.5,171,82,
8/2/19,0:33:40,4.02,8:22,00:09.7,167,20,
8/6/19,0:31:13,4.02,7:45,00:10.1,163,0,
8/7/19,0:40:27,5.25,7:42,02:10.5,169,0,
8/8/19,0:32:06,4.18,7:41,01:18.7,162,0,
8/11/19,0:32:25,3.67,8:49,07:33.0,181,0,
8/11/19,1:20:24,9.10,8:50,03:32.6,176,92,
8/12/19,0:22:59,2.29,10:02,04:26.5,136,0,
8/14/19,0:40:25,4.84,8:21,07:11.5,173,0,
8/16/19,0:39:05,4.55,8:35,07:44.8,171,0,
8/17/19,09:47.9,1.16,8:28,01:15.7,149,16,
8/17/19,08:43.7,1.03,8:28,00:14.4,164,7,
8/17/19,0:10:48,1.23,8:48,01:48.8,150,0,
8/18/19,1:58:02,15.02,7:51,00:13.3,178,0,
8/20/19,0:32:47,4.25,7:43,02:11.5,177,0,
8/21/19,08:23.5,1.01,8:17,00:06.6,166,13,
8/21/19,0:32:25,4.01,8:04,00:07.5,164,23,
8/22/19,08:25.5,1.02,8:17,00:06.5,146,0,
8/23/19,0:34:59,4.01,8:44,00:05.0,164,62,
8/25/19,1:54:33,13.00,8:49,07:55.4,179,161,
8/25/19,0:11:47,1.34,8:46,02:57.0,149,3,
8/27/19,0:25:12,3.02,8:20,00:15.6,165,0,
8/28/19,1:05:53,8.02,8:13,00:07.7,158,0,
8/29/19,0:41:33,5.04,8:15,00:36.3,179,0,
8/31/19,1:41:40,12.06,8:26,00:27.9,171,79,
9/2/19,0:23:46,3.00,7:54,00:03.1,168,26,
9/3/19,0:40:19,5.55,7:16,03:52.4,165,0,
9/4/19,1:12:11,9.01,8:01,00:03.9,179,82,
9/5/19,0:24:21,3.30,7:22,02:10.8,163,0,
9/7/19,2:33:27,18.01,8:31,00:04.2,181,128,
9/9/19,07:59.2,1.05,7:34,00:24.2,171,0,
9/9/19,0:24:09,3.18,7:36,01:20.3,162,0,
9/10/19,0:24:57,3.27,7:38,02:04.7,168,0,
9/11/19,0:14:36,1.35,10:51,04:52.3,141,0,
9/12/19,0:42:24,5.30,8:00,02:24.1,168,0,
9/12/19,03:51.8,0.45,8:38,00:00.0,154,0,
9/14/19,1:58:49,14.01,8:29,00:06.4,173,125,
9/16/19,01:46.4,0.13,13:44,00:00.0,145,0,
9/16/19,0:41:45,5.51,7:35,03:45.8,164,0,
9/17/19,1:17:22,10.17,7:37,01:17.8,177,0,
9/19/19,0:11:01,1.23,8:58,02:09.1,158,79,
9/21/19,2:38:12,20.02,7:54,00:06.8,171,0,
9/23/19,0:41:13,5.41,7:37,03:04.1,154,0,
9/25/19,0:12:42,1.65,7:42,04:58.2,156,0,
9/26/19,1:07:30,8.59,7:52,04:28.5,169,0,
9/27/19,0:33:01,4.32,7:38,02:29.2,157,0,
9/28/19,0:25:33,3.23,7:54,01:52.3,153,0,
9/28/19,09:12.2,1.07,8:36,00:34.0,153,7,
9/28/19,1:08:19,8.07,8:28,00:33.4,156,72,
9/30/19,0:47:36,6.05,7:52,00:29.8,159,0,
10/1/19,0:42:58,5.56,7:44,04:24.9,151,0,
10/2/19,1:08:19,8.66,7:53,05:13.2,171,0,
10/3/19,0:25:31,3.14,8:07,01:08.8,163,0,
10/5/19,1:07:17,8.01,8:24,00:03.1,155,246,
10/7/19,0:24:35,3.01,8:09,00:06.3,158,20,
10/8/19,0:34:00,4.57,7:27,04:11.3,173,0,
10/10/19,0:17:03,2.24,7:37,01:53.9,165,0,
10/12/19,0:17:01,2.01,8:28,00:04.3,144,52,
10/13/19,3:47:34,26.49,8:35,04:23.6,176,463,