Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,8/6/19 15:24,FALSE,Treadmill Running,4.02,276,0:31:13,163,183,3,167,249,7:45,6:56,--,--,1.25,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:10.1,5,0
Running,8/2/19 6:09,FALSE,Chicago Running,4.02,308,0:33:40,167,195,3.4,175,182,8:22,7:36,20,49,1.1,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:09.7,5,0
Running,7/31/19 6:36,FALSE,Chicago Running,7.01,522,0:58:31,171,189,3.4,176,184,8:21,7:30,82,135,1.1,0,0,0,0,0,0:00,0:00,71.6,0:00,No,00:02.5,8,0
Running,7/30/19 18:21,FALSE,Chicago Running,4.01,309,0:33:37,169,199,3.5,170,180,8:23,7:29,20,56,1.13,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:04.8,5,0
Running,7/28/19 18:07,FALSE,Chicago Running,10.01,693,1:26:27,167,199,4,170,184,8:38,6:27,49,105,1.1,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:05.4,11,0
Running,7/25/19 11:47,FALSE,Chicago Running,7.01,583,0:59:02,179,195,4.9,171,182,8:25,7:39,43,66,1.12,0,0,0,0,0,0:00,0:00,84.2,0:00,No,00:04.8,8,0
Running,7/24/19 15:03,FALSE,Chicago Running,0.31,22,02:27.3,165,180,0.7,169,180,7:58,7:56,--,3,1.2,0,0,0,0,0,0:00,0:00,86,0:00,No,00:00.0,1,0
Running,7/24/19 14:23,FALSE,Chicago Running,3.01,219,0:24:02,168,191,3.1,173,186,7:59,6:54,16,30,1.16,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:05.8,4,0
Running,7/23/19 17:02,FALSE,Chicago Running,4.01,319,0:33:05,175,191,3.7,171,182,8:15,7:36,16,43,1.14,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:05.9,5,0
Running,7/21/19 6:35,FALSE,Chicago Running,13.72,"1,169",1:55:05,185,201,5,171,188,8:23,4:48,157,167,1.12,0,0,0,0,0,0:00,0:00,78.8,0:00,No,06:20.5,14,0
Treadmill Running,7/20/19 16:58,FALSE,Treadmill Running,2.19,138,0:16:39,153,172,2.3,163,172,7:37,7:13,--,--,1.3,0,0,0,0,0,0:00,0:00,78.8,0:00,No,01:24.5,3,0
Treadmill Running,7/18/19 12:11,FALSE,Treadmill Running,6.7,467,0:49:30,171,185,3.9,167,185,7:23,6:45,--,--,1.31,0,0,0,0,0,0:00,0:00,77,0:00,No,05:17.6,7,0
Running,7/17/19 16:21,FALSE,Chicago Running,1.01,81,08:17.5,177,190,2.3,172,178,8:14,7:26,7,3,1.14,0,0,0,0,0,0:00,0:00,86,0:00,No,00:04.1,2,0
Running,7/17/19 16:08,FALSE,Chicago Running,1,76,07:52.7,176,191,2.2,174,180,7:52,7:19,3,13,1.18,0,0,0,0,0,0:00,0:00,87.8,0:00,No,00:00.0,1,0
Running,7/17/19 15:43,FALSE,Chicago Running,2,151,0:17:40,158,184,2.5,172,180,8:49,7:54,--,33,1.06,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:02.3,3,0
Treadmill Running,7/16/19 16:05,FALSE,Treadmill Running,3,203,0:25:22,152,184,2.7,166,177,8:27,7:05,--,--,1.15,0,0,0,0,0,0:00,0:00,77,0:00,No,00:03.1,4,0
Running,7/15/19 12:34,FALSE,Chicago Running,1.01,85,08:34.5,180,189,2.3,170,180,8:29,7:42,13,10,1.11,0,0,0,0,0,0:00,0:00,95,0:00,No,00:04.2,2,0
Running,7/15/19 12:28,FALSE,Chicago Running,0.31,23,02:31.5,167,178,0.8,174,184,8:03,7:29,--,3,1.15,0,0,0,0,0,0:00,0:00,96.8,0:00,No,00:00.0,1,0
Running,7/15/19 11:58,FALSE,Chicago Running,2.01,145,0:16:45,163,182,2.5,171,184,8:20,7:10,13,36,1.13,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:04.5,3,0
Running,7/14/19 19:56,FALSE,Chicago Running,1.01,74,08:15.1,164,189,2,171,182,8:08,7:37,13,7,1.16,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:06.9,2,0
Running,7/14/19 19:30,FALSE,Chicago Running,2.24,167,0:19:45,158,180,2.6,170,180,8:48,7:42,10,20,1.08,0,0,0,0,0,0:00,0:00,80.6,0:00,No,02:01.9,3,0
Running,7/13/19 8:39,FALSE,Berrien County Running,1,73,09:16.1,149,169,1.8,174,186,9:13,8:09,20,23,1,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:04.0,2,0
Running,7/13/19 7:45,FALSE,Berrien County Running,4.27,365,0:38:31,174,192,3.8,171,182,9:02,7:50,30,82,1.05,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:29.4,5,0
Running,7/12/19 8:08,FALSE,Berrien County Running,4.01,313,0:35:43,164,188,3.4,170,219,8:55,8:00,52,82,1.06,0,0,0,0,0,0:00,0:00,73.4,0:00,No,00:02.8,5,0
Treadmill Running,7/11/19 5:02,FALSE,Treadmill Running,3.39,230,0:24:42,170,190,3.2,166,178,7:17,6:19,--,--,1.33,0,0,0,0,0,0:00,0:00,75.2,0:00,No,03:07.7,4,0
Running,7/9/19 12:21,FALSE,Chicago Running,3.01,214,0:25:16,159,197,3,166,184,8:24,7:25,20,23,1.15,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:06.2,4,0
Running,7/8/19 17:16,FALSE,Chicago Running,7.01,528,0:59:52,167,195,4,172,184,8:33,7:42,33,56,1.09,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:04.8,8,0
Running,7/6/19 8:32,FALSE,Chicago Running,6.03,436,0:51:25,166,199,3.4,169,184,8:32,7:12,26,82,1.11,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:14.3,7,0
Running,7/5/19 11:58,FALSE,Third Lake Running,2.01,139,0:16:39,159,193,2.5,171,178,8:16,7:23,3,13,1.14,0,0,0,0,0,0:00,0:00,86,0:00,No,00:07.3,3,0
Running,7/4/19 8:37,FALSE,Gurnee Running,1.01,80,09:12.1,161,171,2.1,171,178,9:09,8:38,10,66,1.03,0,0,0,0,0,0:00,0:00,84.2,0:00,No,00:03.6,2,0
Running,7/4/19 7:10,FALSE,Gurnee Running,4.01,334,0:33:48,181,198,3.9,175,180,8:25,7:49,36,49,1.09,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:09.5,5,0
Treadmill Running,7/2/19 5:03,FALSE,Treadmill Running,3.28,211,0:24:13,162,192,3,168,178,7:23,6:50,--,--,1.3,0,0,0,0,0,0:00,0:00,75.2,0:00,No,02:03.1,4,0
Running,7/1/19 15:24,FALSE,Chicago Running,3.03,210,0:25:15,156,172,2.7,170,179,8:20,7:29,10,26,1.14,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:12.5,4,0
Running,6/30/19 14:00,FALSE,Chicago Running,0.73,43,06:27.4,134,152,0.7,174,182,8:54,8:04,--,13,1.04,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1,0
Running,6/29/19 13:21,FALSE,Charleston Running,1.48,116,0:13:44,157,191,2.3,163,174,9:16,8:13,23,20,1.06,0,0,0,0,0,0:00,0:00,86,0:00,No,04:38.2,2,0
Treadmill Running,6/27/19 5:44,FALSE,Treadmill Running,3.1,202,0:24:17,160,192,2.9,167,182,7:50,6:51,--,--,1.23,0,0,0,0,0,0:00,0:00,77,0:00,No,01:04.4,4,0
Running,6/26/19 5:32,FALSE,Lake County Running,4.04,336,0:36:05,175,197,3.7,161,182,8:56,7:41,30,39,1.12,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:23.9,5,0
Treadmill Running,6/25/19 5:38,FALSE,Treadmill Running,3.03,211,0:22:40,173,197,3.3,171,182,7:28,6:38,--,--,1.26,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:16.4,4,0
Running,6/23/19 10:36,FALSE,Chicago Running,8.01,656,1:07:11,182,200,5,170,213,8:23,4:49,59,56,1.13,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:05.7,9,0
Running,6/21/19 16:14,FALSE,Chicago Running,0.31,18,02:43.9,136,146,0.3,172,180,8:47,8:17,3,--,1.06,0,0,0,0,0,0:00,0:00,71.6,0:00,No,00:00.0,1,0
Running,6/21/19 15:38,FALSE,Chicago Running,3.04,207,0:25:17,155,169,2.6,172,183,8:19,6:21,13,36,1.12,0,0,0,0,0,0:00,0:00,68,0:00,No,00:13.7,4,0
Treadmill Running,6/20/19 5:47,FALSE,Treadmill Running,1.09,73,08:44.0,157,172,2,164,180,8:03,7:01,--,--,1.22,0,0,0,0,0,0:00,0:00,77,0:00,No,00:37.9,2,0
Running,6/19/19 11:53,FALSE,Chicago Running,5.07,430,0:43:54,179,196,4.5,171,180,8:40,7:36,43,56,1.09,0,0,0,0,0,0:00,0:00,69.8,0:00,No,00:29.7,6,0
Running,6/18/19 5:54,FALSE,Running,1.81,164,0:17:26,172,188,3,166,178,9:37,9:02,--,7,1.01,0,0,0,0,0,0:00,0:00,78.8,0:00,No,07:49.6,2,0
Treadmill Running,6/17/19 5:44,FALSE,Treadmill Running,3.03,238,0:24:24,179,194,3.6,172,180,8:04,7:21,--,--,1.16,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:11.8,4,0
Running,6/15/19 9:01,FALSE,Chicago Running,2.09,186,0:18:12,187,196,3.6,171,184,8:43,8:03,10,13,1.08,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:48.8,3,0
Running,6/15/19 8:39,FALSE,Chicago Running,2.01,167,0:16:48,181,198,3.3,173,184,8:22,7:28,3,20,1.11,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:03.8,3,0
Treadmill Running,6/13/19 18:40,FALSE,Treadmill Running,0.55,54,08:13.2,137,171,0.9,128,134,14:49,12:37,--,--,0.85,0,0,0,0,0,0:00,0:00,77,0:00,No,04:04.7,2,0
Treadmill Running,6/13/19 18:23,FALSE,Treadmill Running,2.01,138,0:17:02,156,181,2.6,168,175,8:28,7:32,--,--,1.14,0,0,0,0,0,0:00,0:00,77,0:00,No,00:06.7,3,0
Running,6/12/19 9:42,FALSE,Chicago Running,5,385,0:44:09,164,199,3.4,172,184,8:49,7:33,33,66,1.06,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:01.9,6,0
Running,6/11/19 15:58,FALSE,Chicago Running,3.01,242,0:24:59,177,199,3.8,171,182,8:17,6:51,16,33,1.14,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:06.9,4,0
Treadmill Running,6/9/19 19:13,FALSE,Treadmill Running,1.26,107,0:12:00,169,189,2.5,150,174,9:30,6:59,--,--,1.1,0,0,0,0,0,0:00,0:00,77,0:00,No,04:07.8,2,0
Treadmill Running,6/7/19 8:00,FALSE,Treadmill Running,2.01,139,0:19:20,145,163,2.1,148,174,9:37,6:57,--,--,1.12,0,0,0,0,0,0:00,0:00,73.4,0:00,No,00:28.3,3,0
Running,5/23/19 19:23,FALSE,Chicago Running,3.41,331,0:28:48,185,208,5,172,190,8:26,4:50,33,46,1.11,0,0,0,0,0,0:00,0:00,80.6,0:00,No,03:13.5,4,0
Treadmill Running,5/16/19 15:50,FALSE,Treadmill Running,1.01,73,07:58.7,155,162,2.1,171,176,7:53,6:56,--,--,1.19,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:04.9,2,0
Running,5/15/19 15:35,FALSE,Chicago Running,1.01,80,08:49.4,152,164,2.1,167,182,8:46,7:49,10,16,1.1,0,0,0,0,0,0:00,0:00,73.4,0:00,No,00:03.6,2,0
Running,5/15/19 15:16,FALSE,Chicago Running,2,135,0:16:40,142,159,2.2,172,199,8:19,5:22,--,23,1.13,0,0,0,0,0,0:00,0:00,68,0:00,No,00:01.1,3,0
Treadmill Running,5/6/19 12:33,FALSE,Treadmill Running,1.16,71,08:54.2,139,154,1.6,164,176,7:42,6:51,--,--,1.27,0,0,0,0,0,0:00,0:00,77,0:00,No,01:37.7,2,0
Treadmill Running,5/3/19 13:10,FALSE,Treadmill Running,1.3,103,0:11:12,158,185,2.3,156,174,8:38,6:50,--,--,1.17,0,0,0,0,0,0:00,0:00,77,0:00,No,04:02.7,2,0
Treadmill Running,4/17/19 16:54,FALSE,Treadmill Running,1,77,0:18:45,106,124,0.2,120,140,18:47,13:04,--,--,0.72,0,0,0,0,0,0:00,0:00,73.4,0:00,No,00:00.0,1,0
Running,4/17/19 15:48,FALSE,Chicago Running,1.5,107,0:12:43,144,157,2.1,170,178,8:27,7:23,7,3,1.12,0,0,0,0,0,0:00,0:00,77,0:00,No,04:09.7,2,0
Treadmill Running,4/15/19 16:42,FALSE,Treadmill Running,2.02,156,0:15:44,167,183,2.9,168,176,7:46,6:53,--,--,1.23,0,0,0,0,0,0:00,0:00,77,0:00,No,00:11.7,3,0
Treadmill Running,4/13/19 12:05,FALSE,Treadmill Running,2.33,176,0:19:44,160,185,2.9,163,176,8:28,7:13,--,--,1.15,0,0,0,0,0,0:00,0:00,73.4,0:00,No,04:32.4,3,0
Treadmill Running,4/12/19 16:54,FALSE,Treadmill Running,3.41,282,0:28:41,174,190,3.6,162,178,8:24,7:07,--,--,1.16,0,0,0,0,0,0:00,0:00,78.8,0:00,No,06:11.3,4,0
Treadmill Running,4/11/19 7:30,FALSE,Treadmill Running,2.54,225,0:23:17,167,191,3.2,157,176,9:09,7:13,--,--,1.12,0,0,0,0,0,0:00,0:00,78.8,0:00,No,05:57.7,3,0
Running,4/6/19 7:08,FALSE,Milwaukee Running,26.3,"2,385",3:54:45,177,212,5,170,196,8:56,6:53,587,653,1.06,0,0,0,0,0,0:00,0:00,53.6,0:00,No,02:45.4,27,0
Running,4/5/19 7:01,FALSE,Chicago Running,2.01,128,0:16:28,141,172,2.3,177,187,8:11,6:59,7,30,1.11,0,0,0,0,0,0:00,0:00,53.6,0:00,No,00:04.0,3,0
Running,4/3/19 14:50,FALSE,Chicago Running,2.01,145,0:16:18,152,167,2.4,174,181,8:07,7:50,16,20,1.14,0,0,0,0,0,0:00,0:00,59,0:00,No,00:02.3,3,0
Running,4/3/19 14:38,FALSE,Chicago Running,1.01,67,08:15.5,142,165,1.8,172,184,8:13,6:49,--,30,1.14,0,0,0,0,0,0:00,0:00,66.2,0:00,No,00:02.2,2,0
Treadmill Running,4/2/19 19:03,FALSE,Treadmill Running,1.43,94,0:10:30,154,182,2.2,170,178,7:19,6:53,--,--,1.29,0,0,0,0,0,0:00,0:00,75.2,0:00,No,03:23.0,2,0
Treadmill Running,4/1/19 17:11,FALSE,Treadmill Running,1.33,100,09:33.2,178,191,2.6,170,182,7:12,6:04,--,--,1.32,0,0,0,0,0,0:00,0:00,80.6,0:00,No,02:20.2,2,0
Treadmill Running,4/1/19 16:44,FALSE,Treadmill Running,3.21,240,0:23:25,175,187,3.4,169,174,7:18,6:58,--,--,1.31,0,0,0,0,0,0:00,0:00,77,0:00,No,01:29.7,4,0
Treadmill Running,3/31/19 9:26,FALSE,Treadmill Running,1.12,78,07:48.3,172,188,2.2,177,181,6:57,6:45,--,--,1.31,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:52.0,2,0
Treadmill Running,3/31/19 9:15,FALSE,Treadmill Running,1.19,79,08:08.3,167,185,2.2,178,182,6:51,6:40,--,--,1.32,0,0,0,0,0,0:00,0:00,75.2,0:00,No,01:17.4,2,0
Treadmill Running,3/31/19 9:05,FALSE,Treadmill Running,1.14,77,07:50.7,169,185,2.2,179,184,6:53,6:43,--,--,1.31,0,0,0,0,0,0:00,0:00,77,0:00,No,00:58.5,2,0
Running,3/29/19 11:52,FALSE,Chicago Running,8.01,708,1:05:13,182,194,5,179,194,8:09,7:18,66,56,1.1,0,0,0,0,0,0:00,0:00,55.4,0:00,No,00:03.5,9,0
Running,3/27/19 15:55,FALSE,Chicago Running,1.01,81,08:06.8,170,189,2.4,177,186,8:02,7:23,16,16,1.13,0,0,0,0,0,0:00,0:00,66.2,0:00,No,00:06.3,2,0
Running,3/27/19 15:09,FALSE,Chicago Running,5.01,391,0:40:07,166,192,4,179,208,8:01,7:07,49,69,1.12,0,0,0,0,0,0:00,0:00,66.2,0:00,No,00:03.7,6,0
Treadmill Running,3/26/19 19:17,FALSE,Treadmill Running,3.21,243,0:23:52,171,191,3.5,170,176,7:27,7:07,--,--,1.28,0,0,0,0,0,0:00,0:00,77,0:00,No,01:32.8,4,0
Treadmill Running,3/25/19 12:15,FALSE,Treadmill Running,4.32,342,0:31:32,180,197,4.2,175,182,7:18,6:57,--,--,1.26,0,0,0,0,0,0:00,0:00,77,0:00,No,02:16.9,5,0
Treadmill Running,3/24/19 17:41,FALSE,Treadmill Running,3.18,241,0:23:28,172,192,3.5,171,177,7:22,7:05,--,--,1.28,0,0,0,0,0,0:00,0:00,75.2,0:00,No,01:20.5,4,0
Running,3/22/19 12:11,FALSE,Carmel Running,2.01,163,0:16:34,167,177,2.8,179,187,8:15,7:39,52,66,1.09,0,0,0,0,0,0:00,0:00,57.2,0:00,No,00:03.1,3,0
Running,3/22/19 11:28,FALSE,Carmel Running,4.73,359,0:37:52,163,179,3.4,180,187,8:01,7:20,95,148,1.11,0,0,0,0,0,0:00,0:00,53.6,0:00,No,00:01.6,6,0
Running,3/22/19 11:16,FALSE,Carmel Running,1.34,95,0:11:31,143,160,2,176,190,8:36,7:40,20,3,1.07,0,0,0,0,0,0:00,0:00,60.8,0:00,No,00:07.3,4,0
Running,3/20/19 17:45,FALSE,Chicago Running,6.01,448,0:48:43,161,174,3.5,179,183,8:07,7:37,49,56,1.11,0,0,0,0,0,0:00,0:00,57.2,0:00,No,00:03.1,7,0
Running,3/20/19 17:28,FALSE,Chicago Running,2.01,142,0:16:43,149,170,2.3,178,190,8:19,6:52,3,36,1.09,0,0,0,0,0,0:00,0:00,62.6,0:00,No,00:03.6,3,0
Running,3/19/19 17:52,FALSE,Chicago - Running,0.5,39,04:12.7,163,171,1.3,179,183,8:22,8:03,--,3,1.08,0,0,0,0,0,0:00,0:00,64.4,0:00,No,00:00.0,1,0
Running,3/19/19 17:07,FALSE,Chicago - Running,5.03,421,0:40:15,179,191,4.6,177,190,8:00,6:48,39,56,1.14,0,0,0,0,0,0:00,0:00,62.6,0:00,No,00:13.1,6,0
Running,3/18/19 12:32,FALSE,Chicago - Running,1.01,73,07:43.9,165,180,2.1,183,189,7:40,7:33,--,7,1.15,0,0,0,0,0,0:00,0:00,53.6,0:00,No,00:03.1,2,0
Running,3/18/19 12:22,FALSE,Chicago - Running,1.01,81,08:07.4,174,189,2.3,181,189,8:02,7:35,7,7,1.11,0,0,0,0,0,0:00,0:00,55.4,0:00,No,00:04.8,2,0
Running,3/18/19 12:08,FALSE,Chicago - Running,1.02,83,08:12.7,177,187,2.3,179,185,8:03,7:32,10,13,1.11,0,0,0,0,0,0:00,0:00,57.2,0:00,No,00:08.4,2,0
Running,3/18/19 11:40,FALSE,Chicago - Running,3.02,237,0:23:54,170,191,3.4,178,189,7:55,7:10,16,39,1.14,0,0,0,0,0,0:00,0:00,57.2,0:00,No,00:07.1,4,0
Treadmill Running,3/17/19 17:14,FALSE,Treadmill Running,3.15,233,0:24:08,165,189,3.3,170,178,7:39,7:05,--,--,1.24,0,0,0,0,0,0:00,0:00,73.4,0:00,No,01:08.4,4,0
Running,3/15/19 15:04,FALSE,Chicago - Running,10.01,776,1:23:43,164,182,4.4,180,194,8:22,7:18,92,154,1.07,0,0,0,0,0,0:00,0:00,48.2,0:00,No,00:04.2,11,0
Running,3/13/19 16:22,FALSE,Chicago - Running,10.01,802,1:23:51,167,191,5,178,187,8:23,6:44,108,131,1.08,0,0,0,0,0,0:00,0:00,53.6,0:00,No,00:03.3,11,0
Running,3/12/19 17:22,FALSE,Chicago - Running,2.05,175,0:17:24,174,189,3.1,178,185,8:30,7:44,23,23,1.06,0,0,0,0,0,0:00,0:00,55.4,0:00,No,00:22.2,3,0
Running,3/12/19 16:37,FALSE,Chicago - Running,5,407,0:40:09,172,194,4.3,177,186,8:01,7:13,39,52,1.13,0,0,0,0,0,0:00,0:00,59,0:00,No,00:02.1,6,0
Running,3/9/19 7:05,FALSE,Chicago - Running,8.03,570,1:06:28,156,172,3.4,178,192,8:16,7:02,95,108,1.09,0,0,0,0,0,0:00,0:00,44.6,0:00,No,00:12.4,9,0
Treadmill Running,3/7/19 10:08,FALSE,Treadmill Running,2.02,130,0:14:30,157,188,2.5,175,182,7:11,6:53,--,--,1.28,0,0,0,0,0,0:00,0:00,73.4,0:00,No,00:09.0,3,0
Treadmill Running,3/5/19 17:30,FALSE,Treadmill Running,1.07,64,08:04.7,142,173,1.5,172,185,7:33,6:50,--,--,1.24,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:31.8,2,0
Treadmill Running,3/4/19 11:10,FALSE,Treadmill Running,5.12,396,0:38:24,178,191,4.4,169,178,7:30,7:03,--,--,1.27,0,0,0,0,0,0:00,0:00,71.6,0:00,No,00:53.2,6,0
Running,3/2/19 7:06,FALSE,Chicago - Running,18,"1,340",2:39:08,162,189,3.7,177,192,8:50,6:30,190,266,1.03,0,0,0,0,0,0:00,0:00,37.4,0:00,No,00:02.1,19,0
Treadmill Running,2/27/19 16:29,FALSE,Treadmill Running,5.02,340,0:35:27,168,190,3.9,171,182,7:04,6:37,--,--,1.34,0,0,0,0,0,0:00,0:00,75.2,0:00,No,06:51.7,6,0
Running,2/26/19 11:04,FALSE,Chicago Running,9.02,613,1:13:21,158,183,3.6,178,190,8:08,7:04,118,121,1.11,0,0,0,0,0,0:00,0:00,32,0:00,No,07:51.3,10,0
Treadmill Running,2/25/19 12:17,FALSE,Treadmill Running,2.52,186,0:18:42,176,190,3.2,171,179,7:26,7:06,--,--,1.27,0,0,0,0,0,0:00,0:00,71.6,0:00,No,07:22.6,3,0
Treadmill Running,2/25/19 12:01,FALSE,Treadmill Running,1.79,124,0:15:11,150,178,2.3,159,187,8:30,6:14,--,--,1.19,0,0,0,0,0,0:00,0:00,71.6,0:00,No,07:31.6,2,0
Running,2/22/19 13:04,FALSE,Chicago Running,2.01,157,0:16:53,167,179,2.8,176,185,8:24,7:34,13,13,1.09,0,0,0,0,0,0:00,0:00,50,0:00,No,08:21.7,3,0
Running,2/22/19 12:00,FALSE,Chicago Running,7.26,582,1:00:29,172,199,5,176,194,8:19,7:21,62,52,1.1,0,0,0,0,0,0:00,0:00,50,0:00,No,00:03.7,11,0
Treadmill Running,2/20/19 12:15,FALSE,Treadmill Running,8.11,613,0:59:02,182,194,5,169,176,7:17,6:56,--,--,1.31,0,0,0,0,0,0:00,0:00,75.2,0:00,No,07:08.0,9,0
Running,2/19/19 17:07,FALSE,Chicago Running,3.21,240,0:25:55,167,176,3.2,172,179,8:05,7:17,20,13,1.16,0,0,0,0,0,0:00,0:00,41,0:00,No,07:51.9,4,0
Running,2/19/19 16:56,FALSE,Chicago Running,1.01,58,08:32.9,134,155,1.1,168,188,8:27,7:23,--,23,1.13,0,0,0,0,0,0:00,0:00,64.4,0:00,No,08:27.7,2,0
Treadmill Running,2/18/19 11:03,FALSE,Treadmill Running,3.04,193,0:23:24,150,169,2.7,166,179,7:42,6:44,--,--,1.26,0,0,0,0,0,0:00,0:00,73.4,0:00,No,07:36.5,4,0
Running,2/16/19 7:50,FALSE,Chicago Running,14.52,"1,048",2:08:08,161,189,4.5,174,187,8:49,6:58,128,174,1.05,0,0,0,0,0,0:00,0:00,32,0:00,No,08:18.0,15,0
Treadmill Running,2/13/19 12:19,FALSE,Treadmill Running,8.02,628,1:01:52,183,193,5,170,177,7:43,7:09,--,--,1.23,0,0,0,0,0,0:00,0:00,73.4,0:00,No,07:30.5,9,0
Treadmill Running,2/11/19 16:08,FALSE,Treadmill Running,3.06,219,0:23:22,171,191,3.9,170,178,7:38,6:51,--,--,1.24,0,0,0,0,0,0:00,0:00,77,0:00,No,07:36.6,4,0
Treadmill Running,2/10/19 17:14,FALSE,Treadmill Running,3.5,235,0:30:37,156,176,3.5,159,178,8:45,8:16,--,--,1,0,0,0,0,0,0:00,0:00,75.2,0:00,No,09:03.3,4,0
Running,2/9/19 8:00,FALSE,Run,15,"1,200",2:06:39,--,--,--,--,--,8:27,--,--,--,0,0,0,0,0,0,0:00,0:00,0,0:00,No,00:00.0,1,0